000fan000_ReactiveCocoa,SR,null,,
00charis_alluxio,TACHYON,Null - https://alluxio.atlassian.net/jira/software/c/projects/ALLUXIO/ - java project,,
0101011_firefox-ios,AND,null,,
0111b_swift,SR,https://bugs.swift.org/projects/SR/,https://github.com/apple/swift/,
0804U_Kitura,SNAPSHOT,null,,
0804U_wire-ios,ZIOS,null,,
08_fmdb,IOS,null,,
08_Specs,HALO,null,,
0h3r0_liferay-screens,LPS,https://issues.liferay.com/projects/LPS,https://github.com/liferay/liferay-screens.git,
0xced_realm-cocoa,SNAPSHOT,null,,
109163101120_omim,MAPSME,null,,
1097171985_SQLite.swift,UTF,Invalid - it is UTF-8 in commit message,,
12345555_quickblox-ios-sdk,QBIOSSDK,null,,
1M15M3_toshi-ios-client,F,null,,
1taypan_SwiftStructures,WB,null,,
3a4oT_Nimble,AI,null,,
3D4Medical_swift-corelibs-libdispatch,BX,null,,
3qteacher_edx-app-ios,LEARNER,https://openedx.atlassian.net/jira/software/c/projects/LEARNER/,https://github.com/edx/edx-app-ios/,
3sidedcube_GRMustache.swift,SR,null,,
454036111_Operations,BRIDGE,null,,
61ConceptStudio_paper-onboarding,POINTZI,null,,
Abriscioli_mobile-pocs,MLP,null,,
adamhrz_amh-ayla-ios,IMCA,null,,
aditya98_crypto-x,SNAP,null,,
AdvisorApp_iOS,ADV,null,,
Ahmerbaig02_NWSTokenView,LSR,null,,
aidenkeating_welcome-ios-swift,SDIOS,null,,
ailyntang_reviewsfetcher,FF,null,,
AksharDarji_mobile-messaging-sdk-ios,LSR,null,,
Album1993_GRDB.swift,IOS,null,,
AlexJakeGreen_parrot-zik-status,APPDEV,null,,
amaechler_pureweb-ios-samples,RPRO,null,,
AmishaChordia_ELWebService,NAP,null,,
AnarchyTools_swiftbuild,LMW,null,,
AndriushchenkoAlexander_FolioReaderKit,DBGIOS,null,,
anefkens_webtrekk-ios-sdk,FE,null,,
antisoftware_syncano-ios,LIB,null,,
aol-public_OneMobileSDK-videorenderer-ios,MYB,null,,
ApplauseAQI_Swiftjection,US,null,,
Apple_swift-protobuf,MOBILE,null,,
Ashton-W_BFWControls,LSR,null,,
AvinashKiran_onebusaway-iphone,IOS,null,,
awojnowski_max-ios-sdk,MDI,null,,
azimin_stepik-ios,APPS,null,,
bambora-na_beanstream-ios-apisample,GCB,null,,
Beanstream_beanstream-ios-payform,WEB,null,,
bhavukjain1_opentok-ios-sdk-samples-swift,ECO,null,,
bill666500_BTree,SE,null,,
bkase_plank,CXIOS,null,,
BlockChainIdentityVault_aerogear-ios-cookbook,AGIOS,Not puplic - https://jira.jboss.com/browse/AGIOS-9,https://github.com/aerogear/aerogear-ios-cookbook,
blstream_AugmentedSzczecin_iOS,AS,null,,
blstream_mEatUp,MEATUP,null,,
blstream_StudyBox_iOS,LSI,null,,
BondarenkoAlexander_BarcodeRefactor,LAWRENCESCREW,null,,
bookaroom_comeet-iOS,BOOKAROOM,null,,
bookatablemobile_AutoMate-AppBuddy,PAI,null,,
broomburgo_Monads,IAP,null,,
bryansijs_Volontair-iOS,LEARNER,null,,
Catrobat_Catty,CATTY,https://jira.catrob.at/projects/CATTY/,https://github.com/Catrobat/Catty,
cesar-oyarzun-m_exp-ios-sdk,D,null,,
ChadLohrli_MobeWash-IOS,IOS,null,,
changwoojung_BluePic,IDFY,null,,
CNorrisJones_ProjectGroup12,SFU,null,,
cntrump_CocoaMarkdown,IOS,null,,
CrawlingSnail_GymWorkoutManager,VIALI,null,,
creatubbles_ctb-api-swift,APPDEV,null,,
criswinblad_scala-days-ios,SWI,null,,
dani0l_WWDC-Scholars-iOS-2015,FF,null,,
danthorpe_Examples,EXP,null,,
danthorpe_TaylorSource,INK,null,,
DAOCUONG_Money,IOS,null,,
DEAD10CC_wire-ios-sync-engine,HMI,Not public - https://jira.hexagonmi.com/secure/Dashboard.jspa,,
dephillipsmichael_ResearchUXFactory-iOS,BRIDGE,null,,
DevSujeet_iOS-Swift,POS,null,,
dfreemanRIIS_ETAMock,IOS,null,,
DittoPardo_OwlBanners,SDK,null,,
djitmett_asu-capstone-2017-team6,LMW,null,,
dlambright_MIARA-iOS,ISSUE,null,,
dmaulikr_SmartFit,IOS,null,,
dmitry-salnikov_NaOH,SNAPSHOT,null,,
dozierk_Doggy-Van,MIDI,null,,
dstipko_dressez,CRI,null,,
dtumer_jhm,JHM,null,,
DuongTieu_Paparazzo,ADV,null,,
dvvu_UIT-CE,JNT,null,,
ealfonso93_playkit-ios-youbora,IOS,null,,
eirikvaa_Piece,POS,null,,
es-kumagai_SwiftProposals,SE,null,,
evan-liu_CommandArguments,IOS,null,,
EvgSem_FaceCareRoutine,ISS,null,,
facile-it_Optics,PIE,null,,
FI-121_zimbra-ios,FI,null,,
flipsapp_flips-ios,FLIPS,null,,
fossabot_iOS-SDK,PP,null,,
